%time,field.header.seq,field.header.stamp,field.header.frame_id,field.vehicle_speed,field.vehicle_speed_valid
1635234561297800975,786,1635234561297466530,pacmod,7.06,1
1635234561331514000,787,1635234561331247462,pacmod,7.02,1
1635234561365788907,788,1635234561365521651,pacmod,7.07,1
1635234561398964044,789,1635234561398670791,pacmod,7.0,1
1635234561432121618,790,1635234561431754570,pacmod,7.03,1
1635234561466013787,791,1635234561465725533,pacmod,7.01,1
1635234561505833583,792,1635234561503439301,pacmod,7.01,1
1635234561531916556,793,1635234561531668032,pacmod,6.96,1
1635234561565419115,794,1635234561565165597,pacmod,7.01,1
1635234561604777285,795,1635234561599789294,pacmod,6.95,1
1635234561632530306,796,1635234561632199000,pacmod,6.99,1
1635234561666971835,797,1635234561666705641,pacmod,7.0,1
1635234561700438143,798,1635234561700028796,pacmod,6.9,1
1635234561733020268,799,1635234561732726195,pacmod,7.02,1
1635234561767234835,800,1635234561766983607,pacmod,6.88,1
1635234561805202717,801,1635234561800310741,pacmod,7.0,1
1635234561833649425,802,1635234561833388398,pacmod,6.96,1
1635234561866744744,803,1635234561866509219,pacmod,6.99,1
1635234561900051061,804,1635234561899766972,pacmod,6.99,1
1635234561933834529,805,1635234561933528505,pacmod,6.93,1
1635234561967175624,806,1635234561966885612,pacmod,6.98,1
1635234562001631677,807,1635234562001307080,pacmod,6.99,1
1635234562034229949,808,1635234562033870909,pacmod,6.95,1
1635234562068724988,809,1635234562068437607,pacmod,6.94,1
1635234562111557928,810,1635234562100645790,pacmod,6.97,1
1635234562134718147,811,1635234562134428611,pacmod,6.97,1
1635234562167864578,812,1635234562167608494,pacmod,6.97,1
1635234562201742952,813,1635234562201128698,pacmod,6.96,1
1635234562235234653,814,1635234562234905946,pacmod,6.91,1
1635234562268381429,815,1635234562268121145,pacmod,6.95,1
1635234562307032362,816,1635234562301737921,pacmod,6.94,1
1635234562335861090,817,1635234562335497552,pacmod,7.0,1
1635234562368932403,818,1635234562368571686,pacmod,6.95,1
1635234562406359871,819,1635234562401840333,pacmod,6.95,1
1635234562436391047,820,1635234562436016996,pacmod,6.97,1
1635234562470532653,821,1635234562470168809,pacmod,6.91,1
1635234562511064338,822,1635234562502513514,pacmod,6.96,1
1635234562536618744,823,1635234562536243691,pacmod,6.96,1
1635234562569884108,824,1635234562569638608,pacmod,6.98,1
1635234562603387171,825,1635234562603049409,pacmod,6.93,1
1635234562636987171,826,1635234562636676337,pacmod,6.96,1
