%time,field.data
1635234585498650110,0
1635234585531587024,0
1635234585565773560,0
1635234585599773607,0
1635234585631740528,0
1635234585666298662,0
1635234585699738692,0
1635234585732025013,0
1635234585766279429,0
1635234585799678817,0
1635234585832586309,0
1635234585865863908,0
1635234585900149229,0
1635234585932840900,0
1635234585967542967,0
1635234586001129981,0
1635234586033697366,0
1635234586068250546,0
1635234586107581782,0
1635234586134066745,0
1635234586168531471,0
1635234586204533143,0
1635234586234694179,0
1635234586268154796,0
1635234586303638558,0
1635234586335107408,0
1635234586369579630,0
1635234586402544371,0
1635234586435566483,0
1635234586469110488,0
1635234586502167036,0
1635234586535927507,0
1635234586569480285,0
1635234586604863298,0
1635234586636532694,0
1635234586670795256,0
1635234586713696160,0
1635234586736944772,0
1635234586770511299,0
1635234586805531781,0
1635234586837452808,0
1635234586871132156,0
1635234586905265357,0
1635234586937916184,0
1635234586971512902,0
1635234587005780051,0
1635234587038569989,0
1635234587072852376,0
1635234587106394953,0
1635234587139222072,0
1635234587172353491,0
1635234587205301125,0
1635234587239446467,0
1635234587272843739,0
1635234587308691011,0
1635234587339947307,0
1635234587373517378,0
1635234587410084123,0
1635234587440377330,0
1635234587474513386,0
1635234587509884192,0
1635234587540965312,0
1635234587575240442,0
1635234587609325538,0
1635234587641297752,0
1635234587676003847,0
1635234587711158981,0
1635234587741970113,0
1635234587775392066,0
1635234587809663397,0
1635234587842512370,0
1635234587876834078,0
1635234587910198493,0
1635234587943123541,0
1635234587977121302,0
1635234588010578583,0
1635234588043726231,0
1635234588077668296,0
1635234588111124501,0
1635234588143921844,0
1635234588178385961,0
1635234588214470069,0
1635234588244363201,0
1635234588277567209,0
1635234588311964960,0
1635234588344616927,0
1635234588378046970,0
1635234588412215088,0
1635234588445185666,0
1635234588478700955,0
1635234588512894840,0
1635234588545762694,0
1635234588580081812,0
1635234588613156671,0
1635234588646242818,0
1635234588680318410,0
1635234588714124253,0
1635234588746602336,0
1635234588780089342,0
1635234588814242946,0
1635234588847235086,0
1635234588881398122,0
1635234588914376217,0
1635234588947314165,0
1635234588981635773,0
1635234589014220790,0
1635234589048116585,0
1635234589082284203,0
1635234589115727516,0
1635234589148476168,0
1635234589182045526,0
1635234589216354192,0
1635234589249320761,0
1635234589283573423,0
1635234589317088884,0
1635234589349498916,0
1635234589383394476,0
1635234589417363199,0
1635234589450084067,0
1635234589484148255,0
1635234589517509204,0
1635234589550485458,0
1635234589584528086,0
1635234589617783291,0
1635234589650843472,0
1635234589687064508,0
1635234589718387687,0
1635234589751245132,0
1635234589784586918,0
1635234589817991471,0
1635234589851849028,0
1635234589886279265,0
1635234589919017905,0
1635234589952105949,0
1635234589986283162,0
1635234590019846903,0
1635234590052340115,0
1635234590086039823,0
1635234590119241379,0
1635234590152900806,0
1635234590186200342,0
1635234590220648247,0
1635234590253202117,0
1635234590287782249,0
1635234590321073718,0
1635234590353794541,0
1635234590387960805,0
1635234590421454308,0
1635234590454439618,0
1635234590488603900,0
1635234590521280067,0
1635234590554820689,0
1635234590589120669,0
1635234590622405873,0
1635234590655538659,0
1635234590689710604,0
1635234590723150390,0
1635234590756314071,0
1635234590790321037,0
1635234590823254446,0
1635234590856081182,0
1635234590892589383,0
1635234590923667002,0
1635234590956667340,0
1635234590990748821,0
1635234591024009373,0
1635234591057278004,0
1635234591094041086,0
1635234591124573170,0
1635234591157250669,0
1635234591191600489,0
1635234591225024070,0
1635234591257753274,0
1635234591292786478,0
1635234591325252028,0
1635234591358019066,0
1635234591391493476,0
1635234591425486113,0
1635234591458972955,0
1635234591492097222,0
1635234591526229662,0
1635234591559073325,0
1635234591593322641,0
1635234591625841055,0
1635234591659764267,0
1635234591692992187,0
1635234591727055577,0
1635234591759942898,0
1635234591794074799,0
1635234591827295848,0
1635234591860629168,0
1635234591894782890,0
1635234591927713255,0
1635234591960992145,0
1635234591995065830,0
1635234592028600712,0
1635234592062082806,0
1635234592094923047,0
1635234592129138343,0
1635234592162040878,0
1635234592196254559,0
1635234592228766594,0
1635234592262344605,0
1635234592295990766,0
1635234592329552109,0
1635234592363719070,0
1635234592396242095,0
1635234592429575511,0
1635234592463161369,0
1635234592496819458,0
1635234592530157590,0
1635234592564125935,0
1635234592598549682,0
1635234592631583343,0
1635234592664536266,0
1635234592697997445,0
1635234592730878469,0
1635234592764768452,0
1635234592798799527,0
1635234592832456584,0
1635234592865271226,0
1635234592898561066,0
1635234592933078025,0
1635234592965698061,0
1635234592999191170,0
1635234593033370581,0
1635234593066345201,0
1635234593101135997,0
1635234593134016265,0
1635234593166490617,0
1635234593200339369,0
1635234593234295773,0
1635234593267177654,0
1635234593301343073,0
1635234593334788658,0
1635234593367341351,0
1635234593401654195,0
1635234593434021197,0
1635234593468202903,0
1635234593501993899,0
1635234593534961190,0
1635234593568698650,0
1635234593601722764,0
1635234593636107727,0
1635234593669134407,0
1635234593703891685,0
1635234593736636407,0
1635234593769492206,0
1635234593807425240,0
1635234593837103747,0
1635234593869874775,0
1635234593904656670,0
1635234593937683263,0
1635234593970396297,0
1635234594003622199,0
1635234594037909047,0
1635234594071362055,0
1635234594106096226,0
1635234594138576883,0
1635234594171760345,0
1635234594208598027,0
1635234594239226957,0
1635234594272076114,0
1635234594308871014,0
1635234594339912033,0
1635234594372627864,0
1635234594411140631,0
1635234594440310936,0
